Это событие в зарубежной публицистике также иногда называется " третьей пражской дефенестрацией " .	третьей
Через каждые три или четыре уровня опыта игрок может выбрать дополнительный бонус ( перк ) .	каждые
Austin Mini Metro - это короткобазная версия автомобиля Mini , выпускавшаяся под брендами Austin и Rover .	автомобиля
В числе лиц , участвовавших в церемонии , был Комиссаров .	церемонии
В 1865 году купец Самоделкин Иван Филиппович построил для библиотеки дом по ул .	библиотеки
В США работала лаборантом в лаборатории на сталелитейном заводе .	лаборатории
В виде нотгельдов выпускали как марки , так и пфенниги .	марки
В результате пожара был уничтожен более 70000 экземпляров книг .	экземпляров
К концу XVI века семья разбогатела и перешла в разряд йоменов ( землевладельцев ) .	перешла
В « Круглом зале » близ железнодорожного вокзала звучит классическая музыка .	музыка
Цифровая технология позволила решить большинство проблем и начать широкое вещание по стандарту 1080i уже в 2003 году в Японии и в 2004 году - в Европе .	начать
Со́рные расте́ния , или сорняки́ ( от « сор » ) — дикорастущие растения , обитающие на землях , используемых в качестве сельскохозяйственных угодий .	растения
На это предложение он ответил согласием .	предложение
Предполагается , что механизмы программируемой клеточной смерти возникли ещё у прокариот , подтверждением чему служит целый ряд экспериментальных данных .	служит
К строительству линии метро до города Троицка планируется приступить в 2018 году .	метро
Рассказывают , что уже во время переобучения старший лейтенант И .	лейтенант
В городе расположено 102 парка и места отдыха и развлечений .	парка
При тяжёлых формах мигрени вводят сразу после первых признаков 1 мл внутримышечно , а при необходимости вводят в той же дозе повторно .	необходимости
25 сентября 2015 года начато серийное производство автомобилей LADA Vesta .	автомобилей
В свою очередь , Берсень рассказал , что Жареный жаловался ему на великого князя , предлагавшего ему через троицкого игумена оговорить Максима .	великого
В октябре 1941 году в бою под селом Бородино были тяжело ранены лейтенант Денисов и три бойца .	лейтенант
Все сельские населённые пункты имеют автобусное сообщение .	сообщение
По каким причинам в конце XIII века для замка было выбрано именно это название , и что оно означало , шведские хроники умалчивают .	причинам
